dep2,dep3,circo,pano,id,nom,prenom,civ,nuanceId,nuanceCode,nuanceNom,voix,pct_inscrits,pct_exprimes,elu,maj
01,001,1,1,0010101,DEMOTIER,Timothy,M,11,MDM,Modem,19175,22.95,37.20,B,2022-05-23 14:01:24
01,001,1,5,0010105,JOURNIAUX,Sandro,M,13,LR,Les Républicains,15167,18.15,29.43,B,2022-05-23 14:01:24
01,001,2,6,0010206,ARRIBET,Mariette,F,11,MDM,Modem,23595,24.41,39.39,B,2022-05-23 14:01:24
01,001,2,8,0010208,ONOMO,Jean-Raymond,M,13,LR,Les Républicains,16327,16.89,27.26,B,2022-05-23 14:01:24
01,001,3,6,0010306,PLATANIA,Daniella,F,10,REM,La République en marche,28316,36.44,58.83,O,2022-05-23 14:01:24
01,001,4,5,0010405,OSTIN,Roland,M,10,REM,La République en marche,21443,23.50,38.27,B,2022-05-23 14:01:25
01,001,4,3,0010403,SUPPO,Pierre-Claude,M,13,LR,Les Républicains,9926,10.88,17.72,B,2022-05-23 14:01:25
01,001,5,9,0010509,BOITTIAUX,Avelino,M,13,LR,Les Républicains,16590,22.04,35.83,B,2022-05-23 14:01:25
01,001,5,12,0010512,PLÂ,Lucinda,F,10,REM,La République en marche,11449,15.21,24.73,B,2022-05-23 14:01:25
02,002,1,3,0020103,DJARBOUA-BOUCETTA,Paule,F,10,REM,La République en marche,15976,22.22,36.15,B,2022-05-23 14:01:26
02,002,1,1,0020101,PALMERINI,Moïse,M,13,LR,Les Républicains,8990,12.51,20.34,B,2022-05-23 14:01:26
02,002,2,1,0020201,PIDANCIER,Édouard,M,13,LR,Les Républicains,15054,20.60,33.40,B,2022-05-23 14:01:27
02,002,2,10,0020210,MAKWO,Janny,M,8,DIV,Divers,5279,7.23,11.71,B,2022-05-23 14:01:27
02,002,3,3,0020303,FAGNIEL,Pierre-Philippe,M,4,SOC,Parti socialiste,12424,18.63,30.23,B,2022-05-23 14:01:27
02,002,3,4,0020304,CHAPALAIN,Samson,M,11,MDM,Modem,9512,14.26,23.14,B,2022-05-23 14:01:27
02,002,4,1,0020401,KOUAMELAN,Karim,M,10,REM,La République en marche,18591,23.71,38.12,B,2022-05-23 14:01:27
02,002,4,9,0020409,VIRON-ROCHETTE,Léticia,F,13,LR,Les Républicains,13402,17.09,27.48,B,2022-05-23 14:01:28
02,002,5,4,0020504,NEUBERG,Bruno,M,10,REM,La République en marche,22071,26.83,43.48,B,2022-05-23 14:01:28
02,002,5,3,0020503,CORTOIS,Jean-Benoit,M,3,FI,La France insoumise,6186,7.52,12.19,B,2022-05-23 14:01:28
03,003,1,7,0030107,STÖHR,Vinciane,F,10,REM,La République en marche,15687,17.76,28.76,B,2022-05-23 14:01:29
03,003,1,11,0030111,EL GHARAME,Siméon,M,2,COM,Parti communiste français,11750,13.30,21.54,B,2022-05-23 14:01:29
03,003,2,12,0030212,PAFUNDI,Maëva,F,10,REM,La République en marche,12064,15.07,24.46,B,2022-05-23 14:01:29
03,003,2,2,0030202,CUCCHI,Saïd,M,13,LR,Les Républicains,10928,13.65,22.16,B,2022-05-23 14:01:29
03,003,3,3,0030303,DUCATEZ,Ange-Marie,F,10,REM,La République en marche,17751,22.73,36.77,B,2022-05-23 14:01:29
03,003,3,6,0030306,BOUYET,Marien,M,13,LR,Les Républicains,10147,12.99,21.02,B,2022-05-23 14:01:29
04,004,1,7,0040107,LODDO,Berthe,F,10,REM,La République en marche,13380,21.89,35.47,B,2022-05-23 14:01:30
04,004,1,6,0040106,SOULARY,Marie-Carmen,F,3,FI,La France insoumise,6033,9.87,15.99,B,2022-05-23 14:01:30
04,004,2,6,0040206,ROBARAUD,Maximilien,M,10,REM,La République en marche,18843,28.62,46.49,B,2022-05-23 14:01:31
04,004,2,5,0040205,TAGAMOA,André-Pierre,M,3,FI,La France insoumise,7079,10.75,17.47,B,2022-05-23 14:01:31
05,005,1,9,0050109,DE PINTO,Tatiana,F,10,REM,La République en marche,12354,21.22,34.46,B,2022-05-23 14:01:32
